,x,y,files,labels,dblabels,scores,Outliers,Scores - Linear,Scores - Log,colors
kplr007969984-2011073133259_llc.fits,-0.06934656196588658,-4.385861332672349,./Plots/kplr007969984-2011073133259_llc.png,KIC 7969984,0,0.007953827231467179,#009999,#f1e51d,#26ad81,#1f77b4
kplr009654453-2011073133259_llc.fits,0.37599086844258955,-6.117738538760845,./Plots/kplr009654453-2011073133259_llc.png,KIC 9654453,0,0.006392797933413556,#009999,#f6e620,#31b57b,#1f77b4
kplr011823683-2011073133259_llc.fits,-0.6239027615252558,0.5532307657787509,./Plots/kplr011823683-2011073133259_llc.png,KIC 11823683,0,0.0028352501415652262,#009999,#fbe723,#70cf57,#1f77b4
kplr009848302-2011073133259_llc.fits,-0.4934665338486171,1.537426512425068,./Plots/kplr009848302-2011073133259_llc.png,KIC 9848302,0,0.001160918910537281,#009999,#fde725,#d0e11c,#1f77b4
kplr004647974-2011073133259_llc.fits,-0.4733093638188889,1.2951480588032802,./Plots/kplr004647974-2011073133259_llc.png,KIC 4647974,0,0.0017953443739946108,#009999,#fde725,#a0da39,#1f77b4
kplr007215396-2011073133259_llc.fits,0.6514926829539115,-3.996341736658212,./Plots/kplr007215396-2011073133259_llc.png,KIC 7215396,0,0.006697593776782677,#009999,#f4e61e,#2eb37c,#1f77b4
kplr002846375-2011073133259_llc.fits,-0.390851051682545,1.1948177983832156,./Plots/kplr002846375-2011073133259_llc.png,KIC 2846375,0,0.0012853680703438825,#009999,#fde725,#c5e021,#1f77b4
kplr009725680-2011073133259_llc.fits,-0.3863493038268817,1.6070812354575241,./Plots/kplr009725680-2011073133259_llc.png,KIC 9725680,0,0.0014195595566245257,#009999,#fde725,#bade28,#1f77b4
kplr007659883-2011073133259_llc.fits,-0.5460799364399861,1.74141012954769,./Plots/kplr007659883-2011073133259_llc.png,KIC 7659883,0,0.0014282878091297117,#009999,#fde725,#bade28,#1f77b4
kplr009935178-2011073133259_llc.fits,-0.44998894907908926,1.9847176233019161,./Plots/kplr009935178-2011073133259_llc.png,KIC 9935178,0,0.0011478428280731127,#009999,#fde725,#d2e21b,#1f77b4
kplr006343314-2011073133259_llc.fits,-0.22158729152638776,-1.0621158838373914,./Plots/kplr006343314-2011073133259_llc.png,KIC 6343314,0,0.00247921180643704,#009999,#fbe723,#7fd34e,#1f77b4
kplr007821192-2011073133259_llc.fits,-0.37737242893276884,1.1499970940311108,./Plots/kplr007821192-2011073133259_llc.png,KIC 7821192,0,0.0008969373830506582,#009999,#fde725,#ece51b,#1f77b4
kplr010801138-2011073133259_llc.fits,1.082888515383957,-7.137615448372959,./Plots/kplr010801138-2011073133259_llc.png,KIC 10801138,0,0.010724961892051764,#009999,#efe51c,#1fa188,#1f77b4
kplr005094740-2011073133259_llc.fits,-0.3635518872647058,2.7650192723699236,./Plots/kplr005094740-2011073133259_llc.png,KIC 5094740,0,0.002036587860067621,#009999,#fde725,#93d741,#1f77b4
